,Model,Dataset,Fold,Score,Metric
170,GROOT,climate-model-simulation,0,0.9074074074074074,accuracy
171,GROOT,climate-model-simulation,0,0.9074074074074074,adversarial accuracy
172,GROOT,climate-model-simulation,1,0.9166666666666666,accuracy
173,GROOT,climate-model-simulation,1,0.9166666666666666,adversarial accuracy
174,GROOT,climate-model-simulation,2,0.9166666666666666,accuracy
175,GROOT,climate-model-simulation,2,0.8888888888888888,adversarial accuracy
176,GROOT,climate-model-simulation,3,0.9166666666666666,accuracy
177,GROOT,climate-model-simulation,3,0.9074074074074074,adversarial accuracy
178,GROOT,climate-model-simulation,4,0.9166666666666666,accuracy
179,GROOT,climate-model-simulation,4,0.8888888888888888,adversarial accuracy
180,GROOT,cylinder-bands,0,0.6964285714285714,accuracy
181,GROOT,cylinder-bands,0,0.6964285714285714,adversarial accuracy
182,GROOT,cylinder-bands,1,0.7321428571428571,accuracy
183,GROOT,cylinder-bands,1,0.7321428571428572,adversarial accuracy
184,GROOT,cylinder-bands,2,0.5818181818181818,accuracy
185,GROOT,cylinder-bands,2,0.5818181818181818,adversarial accuracy
186,GROOT,cylinder-bands,3,0.5818181818181818,accuracy
187,GROOT,cylinder-bands,3,0.5818181818181818,adversarial accuracy
188,GROOT,cylinder-bands,4,0.7272727272727273,accuracy
189,GROOT,cylinder-bands,4,0.7272727272727273,adversarial accuracy
190,GROOT,diabetes,0,0.7077922077922078,accuracy
191,GROOT,diabetes,0,0.7077922077922079,adversarial accuracy
192,GROOT,diabetes,1,0.7142857142857143,accuracy
193,GROOT,diabetes,1,0.7142857142857143,adversarial accuracy
194,GROOT,diabetes,2,0.7467532467532467,accuracy
195,GROOT,diabetes,2,0.7467532467532467,adversarial accuracy
196,GROOT,diabetes,3,0.7254901960784313,accuracy
197,GROOT,diabetes,3,0.7254901960784313,adversarial accuracy
198,GROOT,diabetes,4,0.738562091503268,accuracy
199,GROOT,diabetes,4,0.738562091503268,adversarial accuracy
200,GROOT,haberman,0,0.6774193548387096,accuracy
201,GROOT,haberman,0,0.6612903225806452,adversarial accuracy
202,GROOT,haberman,1,0.6885245901639344,accuracy
203,GROOT,haberman,1,0.6885245901639344,adversarial accuracy
204,GROOT,haberman,2,0.7377049180327869,accuracy
205,GROOT,haberman,2,0.7377049180327868,adversarial accuracy
206,GROOT,haberman,3,0.7704918032786885,accuracy
207,GROOT,haberman,3,0.7704918032786885,adversarial accuracy
208,GROOT,haberman,4,0.7540983606557377,accuracy
209,GROOT,haberman,4,0.7540983606557377,adversarial accuracy
210,GROOT,ionosphere,0,0.9295774647887324,accuracy
211,GROOT,ionosphere,0,0.8732394366197183,adversarial accuracy
212,GROOT,ionosphere,1,0.8714285714285714,accuracy
213,GROOT,ionosphere,1,0.8714285714285714,adversarial accuracy
214,GROOT,ionosphere,2,0.8857142857142857,accuracy
215,GROOT,ionosphere,2,0.8571428571428572,adversarial accuracy
216,GROOT,ionosphere,3,0.8857142857142857,accuracy
217,GROOT,ionosphere,3,0.8714285714285714,adversarial accuracy
218,GROOT,ionosphere,4,0.9142857142857143,accuracy
219,GROOT,ionosphere,4,0.8857142857142857,adversarial accuracy
220,GROOT,parkinsons,0,0.7948717948717948,accuracy
221,GROOT,parkinsons,0,0.7948717948717949,adversarial accuracy
222,GROOT,parkinsons,1,0.7948717948717948,accuracy
223,GROOT,parkinsons,1,0.7948717948717949,adversarial accuracy
224,GROOT,parkinsons,2,0.8717948717948718,accuracy
225,GROOT,parkinsons,2,0.8461538461538461,adversarial accuracy
226,GROOT,parkinsons,3,0.9230769230769231,accuracy
227,GROOT,parkinsons,3,0.8974358974358975,adversarial accuracy
228,GROOT,parkinsons,4,0.8717948717948718,accuracy
229,GROOT,parkinsons,4,0.7948717948717949,adversarial accuracy
230,GROOT,planning-relax,0,0.7027027027027027,accuracy
231,GROOT,planning-relax,0,0.7027027027027026,adversarial accuracy
232,GROOT,planning-relax,1,0.6756756756756757,accuracy
233,GROOT,planning-relax,1,0.6216216216216216,adversarial accuracy
234,GROOT,planning-relax,2,0.7222222222222222,accuracy
235,GROOT,planning-relax,2,0.6944444444444444,adversarial accuracy
236,GROOT,planning-relax,3,0.6666666666666666,accuracy
237,GROOT,planning-relax,3,0.6388888888888888,adversarial accuracy
238,GROOT,planning-relax,4,0.7222222222222222,accuracy
239,GROOT,planning-relax,4,0.7222222222222222,adversarial accuracy
240,GROOT,sonar,0,0.7380952380952381,accuracy
241,GROOT,sonar,0,0.45238095238095233,adversarial accuracy
242,GROOT,sonar,1,0.6190476190476191,accuracy
243,GROOT,sonar,1,0.38095238095238093,adversarial accuracy
244,GROOT,sonar,2,0.5952380952380952,accuracy
245,GROOT,sonar,2,0.5238095238095238,adversarial accuracy
246,GROOT,sonar,3,0.5365853658536586,accuracy
247,GROOT,sonar,3,0.31707317073170727,adversarial accuracy
248,GROOT,sonar,4,0.6341463414634146,accuracy
249,GROOT,sonar,4,0.4878048780487805,adversarial accuracy
250,GROOT,spambase,0,0.8870792616720955,accuracy
251,GROOT,spambase,0,0.8697068403908794,adversarial accuracy
252,GROOT,spambase,1,0.8945652173913043,accuracy
253,GROOT,spambase,1,0.8793478260869565,adversarial accuracy
254,GROOT,spambase,2,0.9054347826086957,accuracy
255,GROOT,spambase,2,0.8913043478260869,adversarial accuracy
256,GROOT,spambase,3,0.8989130434782608,accuracy
257,GROOT,spambase,3,0.883695652173913,adversarial accuracy
258,GROOT,spambase,4,0.8597826086956522,accuracy
259,GROOT,spambase,4,0.8434782608695652,adversarial accuracy
260,GROOT,SPECTF,0,0.6851851851851852,accuracy
261,GROOT,SPECTF,0,0.6851851851851851,adversarial accuracy
262,GROOT,SPECTF,1,0.7222222222222222,accuracy
263,GROOT,SPECTF,1,0.7037037037037037,adversarial accuracy
264,GROOT,SPECTF,2,0.8113207547169812,accuracy
265,GROOT,SPECTF,2,0.8113207547169812,adversarial accuracy
266,GROOT,SPECTF,3,0.8113207547169812,accuracy
267,GROOT,SPECTF,3,0.8113207547169812,adversarial accuracy
268,GROOT,SPECTF,4,0.7735849056603774,accuracy
269,GROOT,SPECTF,4,0.7547169811320755,adversarial accuracy
270,GROOT,wine,0,0.7061538461538461,accuracy
271,GROOT,wine,0,0.6815384615384615,adversarial accuracy
272,GROOT,wine,1,0.6884615384615385,accuracy
273,GROOT,wine,1,0.6792307692307693,adversarial accuracy
274,GROOT,wine,2,0.7128560431100847,accuracy
275,GROOT,wine,2,0.697459584295612,adversarial accuracy
276,GROOT,wine,3,0.6782140107775212,accuracy
277,GROOT,wine,3,0.6635873749037722,adversarial accuracy
278,GROOT,wine,4,0.7066974595842956,accuracy
279,GROOT,wine,4,0.6828329484218629,adversarial accuracy
280,Natural,banknote-authentication,0,0.9418181818181818,accuracy
281,Natural,banknote-authentication,0,0.9090909090909091,adversarial accuracy
282,Natural,banknote-authentication,1,0.9127272727272727,accuracy
